Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
C4	0805	3.185	7.487	3.185	7.487	3.185	7.533	Top	90.0
C7	0805	2.586	8.023	2.586	8.023	2.586	8.069	Top	90.0
C2	0805	2.036	7.480	2.036	7.480	2.036	7.526	Top	90.0
C1	0805	2.036	8.023	2.036	8.023	2.036	8.069	Top	90.0
LED	0805	3.315	8.301	3.315	8.301	3.269	8.301	Top	180.0
R2	0805	2.540	8.301	2.540	8.301	2.586	8.301	Top	0.0
R1	0805	2.365	8.301	2.365	8.301	2.411	8.301	Top	0.0
C8	0805	2.390	7.201	2.390	7.201	2.436	7.201	Top	0.0
R5	0805	3.036	7.248	3.036	7.248	3.036	7.201	Top	-90.0
R6	0805	3.290	7.201	3.290	7.201	3.336	7.201	Top	0.0
C11	0805	3.136	7.248	3.136	7.248	3.136	7.201	Top	-90.0
C10	0805	3.482	7.201	3.482	7.201	3.529	7.201	Top	0.0
R3	0805	2.615	7.651	2.615	7.651	2.661	7.651	Top	0.0
R8	0805	3.140	8.301	3.140	8.301	3.186	8.301	Top	0.0
C3	0805	3.036	8.023	3.036	8.023	3.036	8.069	Top	90.0
C9	0805	2.936	7.248	2.936	7.248	2.936	7.201	Top	-90.0
R4	0805	2.985	7.491	2.985	7.491	2.985	7.444	Top	-90.0
R7	0805	3.536	8.130	3.536	8.130	3.536	8.084	Top	-90.0
X1	QuarzSMD	2.736	8.059	2.736	8.059	2.736	7.892	Top	-90.0
P1	Poti	2.736	7.476	2.736	7.476	2.836	7.376	Top	0.0
C12	SizeA	3.086	7.491	3.086	7.491	3.086	7.431	Top	90.0
C5	SizeA	3.749	8.120	3.749	8.120	3.689	8.120	Top	0.0
K1	MicroMatch8	3.753	7.751	3.753	7.751	3.644	7.576	Top	90.0
U5	SOT-23	3.636	7.239	3.636	7.239	3.599	7.202	Top	0.0
R9	0805	3.715	7.401	3.715	7.401	3.669	7.401	Top	180.0
R10	0805	3.865	7.401	3.865	7.401	3.911	7.401	Top	0.0
